Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'1999','Hawaii','Brain and Other Nervous System','4.4','3.3','5.7','53','1210300'
'1999','Tennessee','Brain and Other Nervous System','5.4','4.8','6.1','308','5638706'
'1999','North Dakota','Brain and Other Nervous System','6','4.2','8.1','40','644259'
'1999','Colorado','Brain and Other Nervous System','6.7','5.9','7.6','265','4226018'
'1999','California','Brain and Other Nervous System','6.6','6.3','6.9','2049','33499204'
'1999','Alabama','Brain and Other Nervous System','6.5','5.8','7.3','294','4430141'
'1999','Wisconsin','Brain and Other Nervous System','7.3','6.6','8','390','5332666'
'1999','Washington','Brain and Other Nervous System','8.5','7.8','9.3','482','5842564'
'1999','Vermont','Brain and Other Nervous System','7.2','5.2','9.7','44','604683'
'1999','Texas','Brain and Other Nervous System','7','6.6','7.4','1306','20558220'
'1999','South Dakota','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'1999','Rhode Island','Brain and Other Nervous System','8.9','7.2','10.8','98','1040402'
'1999','Oklahoma','Brain and Other Nervous System','7.2','6.3','8.1','250','3437147'
'1999','Ohio','Brain and Other Nervous System','7','6.6','7.5','812','11335454'
'1999','New Mexico','Brain and Other Nervous System','7.1','5.9','8.5','123','1808082'
'1999','New Jersey','Brain and Other Nervous System','7.4','6.8','8','631','8359592'
'1999','New Hampshire','Brain and Other Nervous System','7.1','5.6','8.7','85','1222014'
'1999','Nebraska','Brain and Other Nervous System','7.4','6.2','8.8','129','1704764'
'1999','Missouri','Brain and Other Nervous System','7.2','6.5','7.9','409','5561948'
'1999','Mississippi','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'1999','Minnesota','Brain and Other Nervous System','7.3','6.6','8.1','347','4873481'
'1999','Michigan','Brain and Other Nervous System','7.6','7','8.1','736','9897116'
'1999','Massachusetts','Brain and Other Nervous System','7.2','6.6','7.9','466','6317345'
'1999','Maine','Brain and Other Nervous System','8.1','6.6','9.8','109','1266808'
'1999','Indiana','Brain and Other Nervous System','7.2','6.5','7.9','431','6044969'
'1999','Idaho','Brain and Other Nervous System','8.3','6.7','10.1','101','1275674'
'1999','Wyoming','Brain and Other Nervous System','7.4','5.2','10.2','36','491780'
'1999','Florida','Brain and Other Nervous System','6.9','6.5','7.3','1231','15759421'
'1999','District of Columbia','Brain and Other Nervous System','6.9','4.9','9.5','40','570213'
'1999','Delaware','Brain and Other Nervous System','7.3','5.5','9.4','58','774990'
'1999','Connecticut','Brain and Other Nervous System','7.2','6.3','8.1','254','3386401'
'1999','Arkansas','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'1999','Arizona','Brain and Other Nervous System','6.9','6.2','7.7','346','5023823'
'1999','Alaska','Brain and Other Nervous System','7.5','5.1','10.8','35','624779'
'1999','Louisiana','Brain and Other Nervous System','6.1','5.4','6.9','260','4460811'
'1999','Kansas','Brain and Other Nervous System','6','5.1','7','160','2678338'
'1999','Georgia','Brain and Other Nervous System','6.4','5.8','7','465','8045965'
'1999','West Virginia','Brain and Other Nervous System','6.9','5.8','8.2','135','1811799'
'1999','Virginia','Brain and Other Nervous System','6.5','5.9','7.2','446','7000174'
'1999','Utah','Brain and Other Nervous System','6.6','5.4','7.9','122','2203482'
'1999','South Carolina','Brain and Other Nervous System','6.7','5.9','7.5','264','3974682'
'1999','Pennsylvania','Brain and Other Nervous System','6.8','6.3','7.2','893','12263805'
'1999','Oregon','Brain and Other Nervous System','6.8','5.9','7.7','232','3393941'
'1999','North Carolina','Brain and Other Nervous System','6.8','6.2','7.4','530','7949361'
'1999','New York','Brain and Other Nervous System','6.9','6.5','7.3','1308','18882725'
'1999','Nevada','Brain and Other Nervous System','6.8','5.6','8.1','125','1934718'
'1999','Montana','Brain and Other Nervous System','6.4','4.9','8.3','59','897507'
'1999','Maryland','Brain and Other Nervous System','6.8','6.1','7.5','350','5254509'
'1999','Kentucky','Brain and Other Nervous System','6.8','6.1','7.7','275','4018053'
'1999','Iowa','Brain and Other Nervous System','6.7','5.8','7.7','209','2917634'
'1999','Illinois','Brain and Other Nervous System','6.6','6.1','7','791','12359020'
'2000','Hawaii','Brain and Other Nervous System','4.9','3.8','6.3','61','1213519'
'2000','Delaware','Brain and Other Nervous System','5.8','4.3','7.8','47','786373'
'2000','Virginia','Brain and Other Nervous System','6','5.4','6.6','413','7105817'
'2000','Tennessee','Brain and Other Nervous System','6','5.4','6.6','343','5703719'
'2000','South Carolina','Brain and Other Nervous System','5.9','5.2','6.7','236','4024223'
'2000','New Mexico','Brain and Other Nervous System','5.8','4.8','7.1','103','1821204'
'2000','Wyoming','Brain and Other Nervous System','6.6','4.5','9.3','32','494300'
'2000','Vermont','Brain and Other Nervous System','6.8','4.9','9.2','42','609618'
'2000','Ohio','Brain and Other Nervous System','6.7','6.3','7.2','779','11363543'
'2000','Colorado','Brain and Other Nervous System','6.9','6.1','7.8','275','4326921'
'2000','Alabama','Brain and Other Nervous System','6.5','5.8','7.3','296','4452173'
'2000','Michigan','Brain and Other Nervous System','7.2','6.7','7.7','708','9952450'
'2000','Massachusetts','Brain and Other Nervous System','8','7.4','8.8','526','6361104'
'2000','Maryland','Brain and Other Nervous System','6.9','6.2','7.6','358','5311034'
'2000','Maine','Brain and Other Nervous System','9.2','7.6','11','124','1277072'
'2000','Kentucky','Brain and Other Nervous System','7','6.2','7.9','285','4049021'
'2000','Kansas','Brain and Other Nervous System','7','6.1','8.1','191','2693681'
'2000','Iowa','Brain and Other Nervous System','7.4','6.5','8.4','225','2929067'
'2000','Idaho','Brain and Other Nervous System','8.5','7','10.3','104','1299430'
'2000','Wisconsin','Brain and Other Nervous System','7.2','6.5','8','391','5373999'
'2000','West Virginia','Brain and Other Nervous System','7','5.9','8.3','138','1807021'
'2000','Washington','Brain and Other Nervous System','7.5','6.8','8.2','428','5910512'
'2000','Utah','Brain and Other Nervous System','7.2','6','8.5','131','2244502'
'2000','Texas','Brain and Other Nervous System','7.1','6.7','7.5','1348','20944499'
'2000','South Dakota','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'2000','Rhode Island','Brain and Other Nervous System','7.9','6.3','9.8','87','1050268'
'2000','Pennsylvania','Brain and Other Nervous System','7.1','6.6','7.6','946','12284173'
'2000','Oregon','Brain and Other Nervous System','7.7','6.8','8.7','271','3429708'
'2000','Oklahoma','Brain and Other Nervous System','7','6.2','7.9','245','3454365'
'2000','New York','Brain and Other Nervous System','7.5','7.1','7.9','1438','19001780'
'2000','New Jersey','Brain and Other Nervous System','7.4','6.9','8','641','8430621'
'2000','New Hampshire','Brain and Other Nervous System','7.2','5.8','8.9','89','1239882'
'2000','Nebraska','Brain and Other Nervous System','7.1','5.9','8.5','123','1713820'
'2000','Montana','Brain and Other Nervous System','7.5','5.8','9.5','70','903773'
'2000','Missouri','Brain and Other Nervous System','7.1','6.4','7.8','408','5607285'
'2000','Mississippi','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'2000','Georgia','Brain and Other Nervous System','6.2','5.6','6.8','464','8227303'
'2000','District of Columbia','Brain and Other Nervous System','6.2','4.3','8.7','34','572046'
'2000','California','Brain and Other Nervous System','6.2','5.9','6.5','1961','33987977'
'2000','Arizona','Brain and Other Nervous System','6.2','5.6','7','323','5160586'
'2000','Alaska','Brain and Other Nervous System','6','4','8.7','32','627963'
'2000','Minnesota','Brain and Other Nervous System','6.4','5.7','7.1','308','4933692'
'2000','Louisiana','Brain and Other Nervous System','6.2','5.5','7','268','4471885'
'2000','Indiana','Brain and Other Nervous System','6.3','5.7','7','383','6091866'
'2000','Illinois','Brain and Other Nervous System','6.4','5.9','6.8','774','12434161'
'2000','North Dakota','Brain and Other Nervous System','6.3','4.5','8.6','40','642023'
'2000','North Carolina','Brain and Other Nervous System','6.4','5.9','7','515','8081614'
'2000','Nevada','Brain and Other Nervous System','6.1','5','7.3','117','2018741'
'2000','Florida','Brain and Other Nervous System','7.6','7.2','8','1371','16047515'
'2000','Connecticut','Brain and Other Nervous System','8.2','7.3','9.2','292','3411777'
'2000','Arkansas','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'2001','New Mexico','Brain and Other Nervous System','5','4','6.1','89','1831690'
'2001','Hawaii','Brain and Other Nervous System','5.5','4.3','7','68','1225948'
'2001','Arkansas','Brain and Other Nervous System','5.4','4.6','6.4','151','2691571'
'2001','Virginia','Brain and Other Nervous System','5.1','4.5','5.6','360','7198362'
'2001','Maryland','Brain and Other Nervous System','5.7','5','6.4','299','5374691'
'2001','Louisiana','Brain and Other Nervous System','5.9','5.2','6.7','255','4477875'
'2001','South Dakota','Brain and Other Nervous System','6','4.4','8','48','757972'
'2001','Rhode Island','Brain and Other Nervous System','5.8','4.5','7.4','64','1057142'
'2001','Nevada','Brain and Other Nervous System','6','5','7.2','122','2098399'
'2001','Kentucky','Brain and Other Nervous System','6.2','5.5','7.1','255','4068132'
'2001','District of Columbia','Brain and Other Nervous System','6','4.1','8.4','34','574504'
'2001','California','Brain and Other Nervous System','6.2','5.9','6.5','1998','34479458'
'2001','Pennsylvania','Brain and Other Nervous System','6.8','6.4','7.3','910','12298970'
'2001','Montana','Brain and Other Nervous System','6.5','4.9','8.3','60','906961'
'2001','Utah','Brain and Other Nervous System','6.6','5.5','7.8','132','2283715'
'2001','Tennessee','Brain and Other Nervous System','6.6','5.9','7.3','382','5750789'
'2001','Massachusetts','Brain and Other Nervous System','7.1','6.5','7.8','467','6397634'
'2001','Kansas','Brain and Other Nervous System','7.4','6.4','8.5','200','2702162'
'2001','Iowa','Brain and Other Nervous System','7.9','6.9','9','244','2931997'
'2001','Indiana','Brain and Other Nervous System','7.1','6.4','7.8','432','6127760'
'2001','Florida','Brain and Other Nervous System','7','6.6','7.4','1288','16356966'
'2001','Delaware','Brain and Other Nervous System','8.5','6.6','10.7','68','795699'
'2001','Connecticut','Brain and Other Nervous System','7.5','6.6','8.5','269','3432835'
'2001','Colorado','Brain and Other Nervous System','7.5','6.7','8.4','307','4425687'
'2001','Alaska','Brain and Other Nervous System','7.3','4.9','10.5','36','633714'
'2001','Missouri','Brain and Other Nervous System','6.8','6.1','7.5','390','5641142'
'2001','Minnesota','Brain and Other Nervous System','6.8','6.1','7.5','330','4982796'
'2001','Mississippi','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'2001','Michigan','Brain and Other Nervous System','7.1','6.6','7.7','711','9991120'
'2001','Oregon','Brain and Other Nervous System','7.2','6.3','8.2','254','3467937'
'2001','Oklahoma','Brain and Other Nervous System','7.1','6.2','8','249','3467100'
'2001','Ohio','Brain and Other Nervous System','7.1','6.6','7.6','830','11387404'
'2001','North Dakota','Brain and Other Nervous System','7.6','5.7','10.1','50','639062'
'2001','New York','Brain and Other Nervous System','7','6.7','7.4','1364','19082838'
'2001','New Jersey','Brain and Other Nervous System','7.3','6.7','7.9','634','8492671'
'2001','New Hampshire','Brain and Other Nervous System','8','6.5','9.7','100','1255517'
'2001','Nebraska','Brain and Other Nervous System','7.7','6.5','9.2','135','1719836'
'2001','Wyoming','Brain and Other Nervous System','7.1','4.9','10','34','494657'
'2001','Wisconsin','Brain and Other Nervous System','7.5','6.8','8.2','410','5406835'
'2001','West Virginia','Brain and Other Nervous System','7.4','6.2','8.7','147','1801481'
'2001','Washington','Brain and Other Nervous System','7.4','6.7','8.1','428','5985722'
'2001','Vermont','Brain and Other Nervous System','8','5.9','10.6','50','612223'
'2001','Texas','Brain and Other Nervous System','7.2','6.8','7.5','1390','21319622'
'2001','South Carolina','Brain and Other Nervous System','6.1','5.4','6.9','250','4064995'
'2001','North Carolina','Brain and Other Nervous System','6.3','5.8','6.9','518','8210122'
'2001','Maine','Brain and Other Nervous System','6.4','5.2','7.9','90','1285692'
'2001','Illinois','Brain and Other Nervous System','6.5','6','7','794','12488445'
'2001','Idaho','Brain and Other Nervous System','6.9','5.5','8.5','88','1319962'
'2001','Georgia','Brain and Other Nervous System','6.6','6','7.2','499','8377038'
'2001','Arizona','Brain and Other Nervous System','6.4','5.7','7.1','337','5273477'
'2001','Alabama','Brain and Other Nervous System','6.6','5.9','7.4','301','4467634'
'2002','Hawaii','Brain and Other Nervous System','4.4','3.3','5.7','56','1239613'
'2002','District of Columbia','Brain and Other Nervous System','4.6','3','6.8','26','573158'
'2002','Louisiana','Brain and Other Nervous System','5.5','4.8','6.2','240','4497267'
'2002','Arkansas','Brain and Other Nervous System','5.3','4.5','6.2','150','2705927'
'2002','Virginia','Brain and Other Nervous System','5.3','4.7','5.8','381','7286873'
'2002','Delaware','Brain and Other Nervous System','5.9','4.3','7.8','48','806169'
'2002','New Mexico','Brain and Other Nervous System','5.8','4.8','7.1','108','1855309'
'2002','North Carolina','Brain and Other Nervous System','6.8','6.2','7.4','564','8326201'
'2002','New Jersey','Brain and Other Nervous System','6.7','6.1','7.2','587','8552643'
'2002','New Hampshire','Brain and Other Nervous System','6.7','5.4','8.3','86','1269089'
'2002','Nevada','Brain and Other Nervous System','6.7','5.6','7.9','143','2173791'
'2002','Kentucky','Brain and Other Nervous System','6.8','6','7.6','279','4089875'
'2002','Kansas','Brain and Other Nervous System','6.9','6','8','190','2713535'
'2002','Georgia','Brain and Other Nervous System','6.5','6','7.1','511','8508256'
'2002','Colorado','Brain and Other Nervous System','6.7','5.9','7.5','278','4490406'
'2002','California','Brain and Other Nervous System','6.4','6.2','6.7','2105','34871843'
'2002','Arizona','Brain and Other Nervous System','6.7','6','7.4','360','5396255'
'2002','Alabama','Brain and Other Nervous System','6.7','6','7.5','308','4480089'
'2002','Wyoming','Brain and Other Nervous System','6.9','4.8','9.7','35','500017'
'2002','Wisconsin','Brain and Other Nervous System','7.2','6.5','8','399','5445162'
'2002','West Virginia','Brain and Other Nervous System','7.4','6.2','8.7','145','1805414'
'2002','Washington','Brain and Other Nervous System','8.1','7.4','8.8','474','6052349'
'2002','Vermont','Brain and Other Nervous System','7.1','5.2','9.6','45','615442'
'2002','Utah','Brain and Other Nervous System','7.4','6.3','8.8','150','2324815'
'2002','Texas','Brain and Other Nervous System','7.2','6.8','7.6','1426','21690325'
'2002','South Dakota','Brain and Other Nervous System','7.6','5.8','9.8','61','760020'
'2002','South Carolina','Brain and Other Nervous System','6.9','6.1','7.7','283','4107795'
'2002','Rhode Island','Brain and Other Nervous System','7.5','5.9','9.3','83','1065995'
'2002','Pennsylvania','Brain and Other Nervous System','7.3','6.8','7.7','970','12331031'
'2002','Oregon','Brain and Other Nervous System','7.3','6.4','8.2','265','3513424'
'2002','Oklahoma','Brain and Other Nervous System','7.5','6.6','8.4','268','3489080'
'2002','Ohio','Brain and Other Nervous System','7','6.6','7.5','829','11407889'
'2002','New York','Brain and Other Nervous System','7','6.7','7.4','1370','19137800'
'2002','Illinois','Brain and Other Nervous System','6.2','5.7','6.6','762','12525556'
'2002','Alaska','Brain and Other Nervous System','6.3','4.4','8.9','37','642337'
'2002','Tennessee','Brain and Other Nervous System','6.4','5.8','7.1','377','5795918'
'2002','North Dakota','Brain and Other Nervous System','6.4','4.6','8.6','43','638168'
'2002','Nebraska','Brain and Other Nervous System','7.3','6.1','8.6','128','1728292'
'2002','Montana','Brain and Other Nervous System','9.2','7.4','11.4','88','911667'
'2002','Missouri','Brain and Other Nervous System','7.1','6.5','7.9','418','5674825'
'2002','Mississippi','Brain and Other Nervous System','null','null','null','Data Suppressed','null'
'2002','Minnesota','Brain and Other Nervous System','7.4','6.7','8.3','367','5018935'
'2002','Michigan','Brain and Other Nervous System','7.3','6.8','7.9','739','10015710'
'2002','Massachusetts','Brain and Other Nervous System','7','6.4','7.7','464','6417206'
'2002','Maryland','Brain and Other Nervous System','7.2','6.5','8','382','5440389'
'2002','Maine','Brain and Other Nervous System','8.7','7.2','10.4','120','1295960'
'2002','Iowa','Brain and Other Nervous System','7.4','6.5','8.4','228','2934234'
'2002','Indiana','Brain and Other Nervous System','7','6.4','7.7','430','6155967'
'2002','Idaho','Brain and Other Nervous System','8.4','6.9','10.2','110','1340372'
'2002','Florida','Brain and Other Nervous System','7.2','6.8','7.6','1344','16689370'
'2002','Connecticut','Brain and Other Nervous System','7','6.1','7.9','249','3458749'
'2003','Hawaii','Brain and Other Nervous System','4','3','5.3','53','1251154'
'2003','New Mexico','Brain and Other Nervous System','4.9','4','6.1','92','1877574'
'2003','District of Columbia','Brain and Other Nervous System','5.3','3.5','7.6','29','568502'
'2003','Delaware','Brain and Other Nervous System','5.1','3.7','6.9','43','818003'
'2003','Vermont','Brain and Other Nervous System','5.9','4.1','8','39','617858'
'2003','Mississippi','Brain and Other Nervous System','6','5.1','7','172','2868312'
'2003','Arizona','Brain and Other Nervous System','6','5.4','6.7','336','5510364'
'2003','Alaska','Brain and Other Nervous System','5.9','3.9','8.6','31','648414'
'2003','North Dakota','Brain and Other Nervous System','6.7','4.9','9.1','44','638817'
'2003','North Carolina','Brain and Other Nervous System','6.6','6','7.1','557','8422501'
'2003','Missouri','Brain and Other Nervous System','6.6','6','7.3','393','5709403'
'2003','Illinois','Brain and Other Nervous System','6.5','6','6.9','802','12556006'
'2003','Colorado','Brain and Other Nervous System','6.5','5.7','7.3','275','4528732'
'2003','California','Brain and Other Nervous System','6.5','6.2','6.8','2166','35253159'
'2003','Arkansas','Brain and Other Nervous System','6.6','5.7','7.6','186','2724816'
'2003','Alabama','Brain and Other Nervous System','6.5','5.7','7.2','300','4503491'
'2003','Wisconsin','Brain and Other Nervous System','6.8','6.2','7.6','383','5479203'
'2003','Virginia','Brain and Other Nervous System','6.6','6','7.2','477','7366977'
'2003','Tennessee','Brain and Other Nervous System','6.7','6.1','7.4','406','5847812'
'2003','South Carolina','Brain and Other Nervous System','6.5','5.7','7.3','271','4150297'
'2003','Rhode Island','Brain and Other Nervous System','8.9','7.2','10.8','103','1071342'
'2003','Pennsylvania','Brain and Other Nervous System','7','6.5','7.5','941','12374658'
'2003','Oregon','Brain and Other Nervous System','7.7','6.9','8.7','283','3547376'
'2003','Oklahoma','Brain and Other Nervous System','7.3','6.4','8.2','263','3504892'
'2003','Ohio','Brain and Other Nervous System','6.9','6.4','7.4','813','11434788'
'2003','New York','Brain and Other Nervous System','7.1','6.7','7.5','1388','19175939'
'2003','New Jersey','Brain and Other Nervous System','7.6','7','8.2','674','8601402'
'2003','New Hampshire','Brain and Other Nervous System','7.6','6.2','9.3','97','1279840'
'2003','Nevada','Brain and Other Nervous System','6.9','5.8','8.1','152','2248850'
'2003','Montana','Brain and Other Nervous System','7.4','5.8','9.3','73','919630'
'2003','Michigan','Brain and Other Nervous System','7','6.5','7.5','706','10041152'
'2003','Massachusetts','Brain and Other Nervous System','7.4','6.7','8','492','6422565'
'2003','Maryland','Brain and Other Nervous System','7','6.3','7.7','377','5496269'
'2003','Maine','Brain and Other Nervous System','7.2','5.9','8.7','104','1306513'
'2003','Kentucky','Brain and Other Nervous System','7.1','6.3','7.9','296','4117170'
'2003','Kansas','Brain and Other Nervous System','7.3','6.3','8.4','200','2723004'
'2003','Iowa','Brain and Other Nervous System','7.3','6.3','8.3','225','2941999'
'2003','Indiana','Brain and Other Nervous System','7.1','6.4','7.8','440','6196638'
'2003','Idaho','Brain and Other Nervous System','7.5','6.1','9.1','100','1363380'
'2003','Florida','Brain and Other Nervous System','7','6.6','7.4','1335','17004085'
'2003','Connecticut','Brain and Other Nervous System','7.4','6.6','8.4','271','3484336'
'2003','Nebraska','Brain and Other Nervous System','6.2','5.1','7.4','110','1738643'
'2003','Minnesota','Brain and Other Nervous System','6.2','5.6','7','314','5053572'
'2003','Louisiana','Brain and Other Nervous System','6.4','5.6','7.1','284','4521042'
'2003','Georgia','Brain and Other Nervous System','6.3','5.7','6.9','507','8622793'
'2003','Wyoming','Brain and Other Nervous System','7.1','5','9.8','37','503453'
'2003','West Virginia','Brain and Other Nervous System','8','6.8','9.4','163','1812295'
'2003','Washington','Brain and Other Nervous System','7.8','7.1','8.6','467','6104115'
'2003','Utah','Brain and Other Nervous System','6.9','5.8','8.1','142','2360137'
'2003','Texas','Brain and Other Nervous System','7.2','6.8','7.5','1450','22030931'
'2003','South Dakota','Brain and Other Nervous System','8.4','6.4','10.7','65','763729'
'2004','Hawaii','Brain and Other Nervous System','4.2','3.1','5.4','56','1273569'
'2004','Louisiana','Brain and Other Nervous System','5.8','5.1','6.6','261','4552238'
'2004','District of Columbia','Brain and Other Nervous System','5.6','3.8','7.9','31','567754'
'2004','Virginia','Brain and Other Nervous System','6.6','6','7.2','490','7475575'
'2004','South Carolina','Brain and Other Nervous System','6.7','5.9','7.5','287','4210921'
'2004','North Carolina','Brain and Other Nervous System','6.8','6.2','7.3','587','8553152'
'2004','Montana','Brain and Other Nervous System','7.7','6.1','9.7','78','930009'
'2004','Missouri','Brain and Other Nervous System','7','6.4','7.7','421','5747741'
