Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'1999','District of Columbia','Liver and Intrahepatic Bile Duct','8.8','6.5','11.7','49','570213'
'1999','West Virginia','Liver and Intrahepatic Bile Duct','4','3.2','5','85','1811799'
'1999','Virginia','Liver and Intrahepatic Bile Duct','3.6','3.2','4.1','239','7000174'
'1999','Washington','Liver and Intrahepatic Bile Duct','5.6','5','6.3','310','5842564'
'1999','Utah','Liver and Intrahepatic Bile Duct','3.5','2.6','4.5','55','2203482'
'1999','Rhode Island','Liver and Intrahepatic Bile Duct','3.8','2.7','5.1','43','1040402'
'1999','South Carolina','Liver and Intrahepatic Bile Duct','3.6','3','4.3','140','3974682'
'1999','South Dakota','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'1999','Oklahoma','Liver and Intrahepatic Bile Duct','4.3','3.7','5.1','153','3437147'
'1999','Oregon','Liver and Intrahepatic Bile Duct','4.2','3.6','5','147','3393941'
'1999','Pennsylvania','Liver and Intrahepatic Bile Duct','4.6','4.2','5','646','12263805'
'1999','North Carolina','Liver and Intrahepatic Bile Duct','3.1','2.7','3.5','239','7949361'
'1999','Ohio','Liver and Intrahepatic Bile Duct','4','3.6','4.3','462','11335454'
'1999','New York','Liver and Intrahepatic Bile Duct','6.2','5.8','6.6','1180','18882725'
'1999','New Mexico','Liver and Intrahepatic Bile Duct','5.9','4.8','7.2','99','1808082'
'1999','New Hampshire','Liver and Intrahepatic Bile Duct','4.8','3.6','6.2','57','1222014'
'1999','New Jersey','Liver and Intrahepatic Bile Duct','4.6','4.2','5.1','402','8359592'
'1999','Nevada','Liver and Intrahepatic Bile Duct','5.5','4.4','6.7','99','1934718'
'1999','Missouri','Liver and Intrahepatic Bile Duct','3.8','3.3','4.3','216','5561948'
'1999','Minnesota','Liver and Intrahepatic Bile Duct','3.4','2.9','3.9','158','4873481'
'1999','Mississippi','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'1999','Massachusetts','Liver and Intrahepatic Bile Duct','4.7','4.2','5.2','306','6317345'
'1999','Michigan','Liver and Intrahepatic Bile Duct','5.3','4.9','5.8','516','9897116'
'1999','Maryland','Liver and Intrahepatic Bile Duct','4.4','3.8','5','215','5254509'
'1999','Louisiana','Liver and Intrahepatic Bile Duct','5.1','4.4','5.8','209','4460811'
'1999','Maine','Liver and Intrahepatic Bile Duct','5','3.9','6.4','70','1266808'
'1999','Kentucky','Liver and Intrahepatic Bile Duct','3.8','3.2','4.5','153','4018053'
'1999','Indiana','Liver and Intrahepatic Bile Duct','3.7','3.2','4.2','220','6044969'
'1999','Iowa','Liver and Intrahepatic Bile Duct','4.2','3.5','4.9','137','2917634'
'1999','Kansas','Liver and Intrahepatic Bile Duct','3.3','2.7','4.1','89','2678338'
'1999','Idaho','Liver and Intrahepatic Bile Duct','3.2','2.2','4.4','37','1275674'
'1999','Illinois','Liver and Intrahepatic Bile Duct','5.4','5','5.8','643','12359020'
'1999','Wisconsin','Liver and Intrahepatic Bile Duct','4.2','3.6','4.8','227','5332666'
'1999','Wyoming','Liver and Intrahepatic Bile Duct','3.3','1.9','5.4','16','491780'
'1999','Florida','Liver and Intrahepatic Bile Duct','4.7','4.4','5','915','15759421'
'1999','Georgia','Liver and Intrahepatic Bile Duct','3.5','3.1','4','238','8045965'
'1999','Connecticut','Liver and Intrahepatic Bile Duct','4.9','4.2','5.7','180','3386401'
'1999','Delaware','Liver and Intrahepatic Bile Duct','4.3','3','6.1','34','774990'
'1999','Colorado','Liver and Intrahepatic Bile Duct','4.1','3.4','4.8','146','4226018'
'1999','Arizona','Liver and Intrahepatic Bile Duct','3.9','3.4','4.5','196','5023823'
'1999','Arkansas','Liver and Intrahepatic Bile Duct','null','null','null','Data Suppressed','null'
'1999','Alabama','Liver and Intrahepatic Bile Duct','4.5','3.9','5.2','203','4430141'
'1999','Texas','Liver and Intrahepatic Bile Duct','6.3','5.9','6.7','1079','20558220'
'1999','California','Liver and Intrahepatic Bile Duct','6.9','6.6','7.2','2000','33499204'
'1999','Alaska','Liver and Intrahepatic Bile Duct','6.7','4.2','10','27','624779'
'1999','Vermont','Liver and Intrahepatic Bile Duct','2.9','1.7','4.7','18','604683'
'1999','Tennessee','Liver and Intrahepatic Bile Duct','2.6','2.2','3.1','148','5638706'
'1999','North Dakota','Liver and Intrahepatic Bile Duct','3','1.9','4.6','22','644259'
'1999','Montana','Liver and Intrahepatic Bile Duct','3.1','2.1','4.4','29','897507'
'1999','Nebraska','Liver and Intrahepatic Bile Duct','2.9','2.1','3.8','50','1704764'
'1999','Hawaii','Liver and Intrahepatic Bile Duct','8.4','6.8','10.1','103','1210300'
'2000','Hawaii','Liver and Intrahepatic Bile Duct','8.2','6.7','10','103','1213519'
