Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'1999','Utah','Lung and Bronchus','33.9','31.1','37','521','2203482'
'1999','Colorado','Lung and Bronchus','51.6','49.3','54.1','1765','4226018'
'1999','New Mexico','Lung and Bronchus','48.5','45.2','51.9','810','1808082'
'1999','Kansas','Lung and Bronchus','67','63.9','70.1','1811','2678338'
'1999','Nebraska','Lung and Bronchus','61.5','57.9','65.3','1086','1704764'
'1999','Montana','Lung and Bronchus','63.4','58.5','68.7','601','897507'
'1999','New York','Lung and Bronchus','66.3','65.1','67.5','12675','18882725'
'1999','Virginia','Lung and Bronchus','63','61.1','65','4112','7000174'
'1999','Wyoming','Lung and Bronchus','60.5','53.6','68','281','491780'
'1999','Wisconsin','Lung and Bronchus','66.4','64.3','68.6','3598','5332666'
'1999','Alabama','Lung and Bronchus','72.8','70.4','75.4','3339','4430141'
'1999','Arkansas','Lung and Bronchus','null','null','null','Data Suppressed','null'
'1999','Alaska','Lung and Bronchus','79.2','69.4','89.8','275','624779'
'1999','District of Columbia','Lung and Bronchus','76.4','69.3','84','422','570213'
'1999','Delaware','Lung and Bronchus','82.3','76.1','88.9','654','774990'
'1999','Connecticut','Lung and Bronchus','68.5','65.8','71.2','2491','3386401'
'1999','Georgia','Lung and Bronchus','74.4','72.3','76.5','4943','8045965'
'1999','Florida','Lung and Bronchus','77.7','76.5','79','15678','15759421'
'1999','Illinois','Lung and Bronchus','74','72.4','75.5','8763','12359020'
'1999','Iowa','Lung and Bronchus','67.6','64.8','70.5','2204','2917634'
'1999','Indiana','Lung and Bronchus','80','77.7','82.3','4763','6044969'
'1999','Kentucky','Lung and Bronchus','100.2','97.2','103.4','4049','4018053'
'1999','Maine','Lung and Bronchus','78.5','73.9','83.2','1109','1266808'
'1999','Louisiana','Lung and Bronchus','84.3','81.5','87.1','3490','4460811'
'1999','Maryland','Lung and Bronchus','75.5','73','77.9','3699','5254509'
'1999','Michigan','Lung and Bronchus','75.3','73.6','77.1','7290','9897116'
'1999','Massachusetts','Lung and Bronchus','72.8','70.8','74.9','4803','6317345'
'1999','Mississippi','Lung and Bronchus','null','null','null','Data Suppressed','null'
